Position,"Track Name",Artist,Streams,URL
100,Maniac,"Conan Gray",314549,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
101,"Lottery (Renegade)","K CAMP",313695,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
102,"Good News","Mac Miller",313155,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
103,Señorita,"Shawn Mendes",312255,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
104,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",308817,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
105,"Going Bad (feat. Drake)","Meek Mill",305934,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
106,"me & ur ghost",blackbear,305624,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
107,"Murder On My Mind","YNW Melly",304660,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
108,Falling,"Harry Styles",304553,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
109,"Stuck In A Dream (feat. Gunna)","Lil Mosey",304077,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
110,Moon,BTS,304033,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
111,"Knocked Off","YoungBoy Never Broke Again",302035,https://open.spotify.com/track/7MYFKS7XpVz1JQDK38pr8N
112,"Jocelyn Flores",XXXTENTACION,300328,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
113,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",299095,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
114,"I Fall Apart","Post Malone",298347,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
115,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",298127,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
116,"One Man Band","Old Dominion",296962,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
117,"Start Wit Me (feat. Gunna)","Roddy Ricch",296313,https://open.spotify.com/track/7A20WnLkjtZU2d7hIB6Ziu
118,"ocean eyes","Billie Eilish",294946,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
119,"Pop Out (feat. Lil Tjay)","Polo G",294561,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
120,"SICKO MODE","Travis Scott",291038,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
121,Camelot,"NLE Choppa",290333,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
122,"I Hope","Gabby Barrett",288714,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI
123,"Beautiful Crazy","Luke Combs",288636,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
124,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",288026,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
125,"The Way","Trippie Redd",287953,https://open.spotify.com/track/6CeZoh6Oemi28WQRpa004x
126,Vete,"Bad Bunny",286898,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
127,"Whiskey Glasses","Morgan Wallen",286684,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
128,"Hate Me (with Juice WRLD)","Ellie Goulding",285541,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
129,F.N,"Lil Tjay",284913,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
130,"Outro : Ego",BTS,283859,https://open.spotify.com/track/3r9FFjLrAIQjoR8pSHVPC9
131,"rockstar (feat. 21 Savage)","Post Malone",283594,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
132,"Boy With Luv (feat. Halsey)",BTS,279633,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
133,SAD!,XXXTENTACION,279424,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
134,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",278941,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
135,Rare,"Selena Gomez",278658,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
136,"Lights Up","Harry Styles",278460,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
137,"Lil Top","YoungBoy Never Broke Again",277309,https://open.spotify.com/track/1aMokXl3uKDvCh4BBcjFOA
138,"The London (feat. J. Cole & Travis Scott)","Young Thug",277165,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
139,"Heartless (feat. Morgan Wallen)",Diplo,276952,https://open.spotify.com/track/0rFQ5cKYJ9WtHSKp9sxVYt
140,"Me and My Guitar","A Boogie Wit da Hoodie",273626,https://open.spotify.com/track/6cZH4rX1KTt1aJ3Ql6Ynja
141,"Lose Control",MEDUZA,273588,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
142,"I Don't Care (with Justin Bieber)","Ed Sheeran",272208,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
143,"Interlude : Shadow",BTS,271317,https://open.spotify.com/track/2Nib4r0saYQf2pUV4RFDhl
144,Speechless,"Dan + Shay",267263,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
145,"Beautiful People (feat. Khalid)","Ed Sheeran",267044,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
146,"Shake The Room (feat. Quavo)","Pop Smoke",266543,https://open.spotify.com/track/7rSnKi58HPIVC0FVyh04Q1
147,"Better Now","Post Malone",265731,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
148,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",265046,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
149,"The Less I Know The Better","Tame Impala",264247,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
150,"Give No Fxk",Migos,263901,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
151,GATTI,JACKBOYS,263477,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g
152,"Without Me",Halsey,262967,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
