Position,"Track Name",Artist,Streams,URL
125,YOSEMITE,"Travis Scott",250600,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
126,"223's (feat. 9lokknine)","YNW Melly",250421,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T
127,"One Man Band","Old Dominion",250210,https://open.spotify.com/track/08dFHFTx6r67MTsYn5ilDR
128,Boyfriend,"Selena Gomez",248422,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M
129,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",248120,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
130,"No Guidance (feat. Drake)","Chris Brown",244383,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
131,"Armed And Dangerous","Juice WRLD",242304,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
132,"Baby Pluto","Lil Uzi Vert",241772,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
133,"Pop Out (feat. Lil Tjay)","Polo G",240441,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
134,"Going Bad (feat. Drake)","Meek Mill",240390,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
135,Señorita,"Shawn Mendes",238245,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
136,"Without Me",Halsey,236562,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
137,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,236191,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
138,"Better Now","Post Malone",235644,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
139,"Captain Hook","Megan Thee Stallion",235348,https://open.spotify.com/track/1E3VQQWFQAPJkXfYHjqWoI
140,"Havin My Way (feat. Lil Durk)","Lil Skies",235070,https://open.spotify.com/track/0oH0OIeKJSAT5bdFkbz20A
141,"Lo Mein","Lil Uzi Vert",234903,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
142,"Out Of Love (feat. Internet Money)","Lil Tecca",233364,https://open.spotify.com/track/7rTzrRdc5UbvLr0gwI1J3E
143,Camelot,"NLE Choppa",232927,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
144,"Lean Wit Me","Juice WRLD",232801,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
145,"Make No Sense","YoungBoy Never Broke Again",231737,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
146,"This City","Sam Fischer",230662,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
147,"Eastside (with Halsey & Khalid)","benny blanco",230271,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
148,Speechless,"Dan + Shay",229416,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
149,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",229380,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
150,"ocean eyes","Billie Eilish",227615,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
151,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",226916,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
152,"The London (feat. J. Cole & Travis Scott)","Young Thug",224249,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
153,Legends,"Juice WRLD",223477,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
154,Moonlight,XXXTENTACION,222424,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
